atomic_number,symbol,name,group,period,block,category,standard_state,predicted_state,atomic_mass_u,cpk_hex_color,electron_configuration,oxidation_states,atomic_radius_pm,melting_point_k,boiling_point_k,density_g_cm3,pauling_en,first_ionization_energy_ev,electron_affinity_ev,mulliken_en_ev,pauling_available,mulliken_available,app_method_coverage,source_core_url,source_analytics_url,source_methodology_url,source_validation_url,notes
1,H,Hydrogen,1,1,s,Nonmetal,Gas,False,1.008,FFFFFF,1s1,"+1, -1",120.0,13.81,20.28,9e-05,2.2,13.598,0.754,7.176,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
2,He,Helium,18,1,s,Noble gas,Gas,False,4.0026,D9FFFF,1s2,0,140.0,0.95,4.22,0.000178,,24.587,,,False,False,limited_atomic_data,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Pauling electronegativity unavailable in source data. Electron affinity unavailable or not stable in source data.
3,Li,Lithium,1,2,s,Alkali metal,Solid,False,7.0,CC80FF,[He]2s1,+1,182.0,453.65,1615.0,0.534,0.98,5.392,0.618,3.005,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
4,Be,Beryllium,2,2,s,Alkaline earth metal,Solid,False,9.012183,C2FF00,[He]2s2,+2,153.0,1560.0,2744.0,1.85,1.57,9.323,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
5,B,Boron,13,2,p,Metalloid,Solid,False,10.81,FFB5B5,[He]2s2 2p1,+3,192.0,2348.0,4273.0,2.37,2.04,8.298,0.277,4.2875,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
6,C,Carbon,14,2,p,Nonmetal,Solid,False,12.011,909090,[He]2s2 2p2,"+4, +2, -4",170.0,3823.0,4098.0,2.267,2.55,11.26,1.263,6.2615,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
7,N,Nitrogen,15,2,p,Nonmetal,Gas,False,14.007,3050F8,[He] 2s2 2p3,"+5, +4, +3, +2, +1, -1, -2, -3",155.0,63.15,77.36,0.001251,3.04,14.534,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
8,O,Oxygen,16,2,p,Nonmetal,Gas,False,15.999,FF0D0D,[He]2s2 2p4,-2,152.0,54.36,90.2,0.001429,3.44,13.618,1.461,7.5395,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
9,F,Fluorine,17,2,p,Halogen,Gas,False,18.998403,90E050,[He]2s2 2p5,-1,135.0,53.53,85.03,0.001696,3.98,17.423,3.339,10.381,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
10,Ne,Neon,18,2,p,Noble gas,Gas,False,20.18,B3E3F5,[He]2s2 2p6,0,154.0,24.56,27.07,0.0009,,21.565,,,False,False,limited_atomic_data,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Pauling electronegativity unavailable in source data. Electron affinity unavailable or not stable in source data.
11,Na,Sodium,1,3,s,Alkali metal,Solid,False,22.989769,AB5CF2,[Ne]3s1,+1,227.0,370.95,1156.0,0.97,0.93,5.139,0.548,2.8435,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
12,Mg,Magnesium,2,3,s,Alkaline earth metal,Solid,False,24.305,8AFF00,[Ne]3s2,+2,173.0,923.0,1363.0,1.74,1.31,7.646,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
13,Al,Aluminum,13,3,p,Post-transition metal,Solid,False,26.981538,BFA6A6,[Ne]3s2 3p1,+3,184.0,933.437,2792.0,2.7,1.61,5.986,0.441,3.2135,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
14,Si,Silicon,14,3,p,Metalloid,Solid,False,28.085,F0C8A0,[Ne]3s2 3p2,"+4, +2, -4",210.0,1687.0,3538.0,2.3296,1.9,8.152,1.385,4.7685,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
15,P,Phosphorus,15,3,p,Nonmetal,Solid,False,30.973762,FF8000,[Ne]3s2 3p3,"+5, +3, -3",180.0,317.3,553.65,1.82,2.19,10.487,0.746,5.6165,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
16,S,Sulfur,16,3,p,Nonmetal,Solid,False,32.07,FFFF30,[Ne]3s2 3p4,"+6, +4, -2",180.0,388.36,717.75,2.067,2.58,10.36,2.077,6.2185,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
